
at,     Österr. Bundesliga
at.2,   Österr. Erste Liga
at.cup, ÖFB Cup

# todo/check: use groups for West/Mitte/Ost??
#  and just use at.3, Österr. Regionalliga

at.3.ost,   Österr. Regionalliga Ost
at.3.mitte, Österr. Regionalliga Mitte
at.3.west,  Österr. Regionalliga West

###
# 9 leagues (one per bundesland/state)

at.4.w,     Wiener Stadtliga
at.4.n,     Landesliga Niederösterreich
at.4.b,     Landesliga Burgenland|Burgendland Liga|Burgenlandliga
at.4.st,    Steirische Landesliga|Landesliga Steiermark
at.4.o,     Landesliga Oberösterreich|OÖ Liga
at.4.k,     Kärtner Liga|Landesliga Kärnten
at.4.s,     Salzburger Liga|Landesliga Salzburg
at.4.t,     Tiroler Liga|Tirol Liga
at.4.v,     Vorarlberg Liga|Vorarlbergliga
