### Regional Liga Mitte

linz,          FC Blau-Weiß Linz,      Regionalliga Mitte/OÖ,    BWL, city:linz
lask,          LASK Linz,              Regionalliga Mitte/OÖ,  LAS
pasching,      FC Pasching,            Regionalliga Mitte/OÖ,   PAS
voecklamarkt,  Vöcklamarkt|Union Vöcklamarkt,     Regionalliga Mitte/OÖ,  VOE
stflorian,     St. Florian|Union St. Florian,     Regionalliga Mitte/OÖ,  STF
wallern,       Wallern|SV Wallern,                Regionalliga Mitte/OÖ,  WAL

vsv,           Villacher SV,           Regionalliga Mitte/Ktn., VSV
klagenfurt,    SAK Klagenfurt|SAK Celovec/Klagenfurt, Regionalliga Mitte/Ktn., CEL
austriak,      SK Austria Klagenfurt|SG Austria Klagenfurt,  Regionalliga Mitte/Ktn., KLA

kalsdorf,      SC Kalsdorf,            Regionalliga Mitte/Stmk., KAL
gratkorn,      FC Gratkorn,            Regionalliga Mitte/Stmk., GRA
allerheiligen, SV Allerheiligen|USV Allerheiligen,       Regionalliga Mitte/Stmk., ALL

